Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
1,Random,Heap,0,4.2e-06
1,Random,Bubble,0,1.96e-05
1,Random,Selection,0,7e-07
1,Random,Insertion,0,1.3e-06
1,Sorted,Heap,0,9e-07
1,Sorted,Bubble,0,1.2e-06
1,Sorted,Selection,0,1.2e-06
1,Sorted,Insertion,0,1.2e-06
1,Inversely-sorted,Heap,0,9e-07
1,Inversely-sorted,Bubble,0,8e-07
1,Inversely-sorted,Selection,0,1.2e-06
1,Inversely-sorted,Insertion,0,1e-06
2,Random,Heap,0,1.1e-06
2,Random,Bubble,1,1.1e-06
2,Random,Selection,1,1.3e-06
2,Random,Insertion,1,1.2e-06
2,Sorted,Heap,0,1.2e-06
2,Sorted,Bubble,1,1e-06
2,Sorted,Selection,1,1.2e-06
2,Sorted,Insertion,1,1.1e-06
2,Inversely-sorted,Heap,1,1.1e-06
2,Inversely-sorted,Bubble,1,1.2e-06
2,Inversely-sorted,Selection,1,1.6e-06
2,Inversely-sorted,Insertion,1,1.4e-06
3,Random,Heap,1,1.7e-06
3,Random,Bubble,3,1.2e-06
3,Random,Selection,3,1.2e-06
3,Random,Insertion,3,1.5e-06
3,Sorted,Heap,1,1.6e-06
3,Sorted,Bubble,2,1.2e-06
3,Sorted,Selection,3,1.6e-06
3,Sorted,Insertion,2,1.2e-06
3,Inversely-sorted,Heap,2,2.1e-06
3,Inversely-sorted,Bubble,3,1.3e-06
3,Inversely-sorted,Selection,3,1.5e-06
3,Inversely-sorted,Insertion,3,2.4e-06
4,Random,Heap,2,1.5e-06
4,Random,Bubble,6,1.3e-06
4,Random,Selection,6,1.3e-06
4,Random,Insertion,4,1.9e-06
4,Sorted,Heap,1,1.3e-06
4,Sorted,Bubble,3,1.3e-06
4,Sorted,Selection,6,1.3e-06
4,Sorted,Insertion,3,1.9e-06
4,Inversely-sorted,Heap,5,1.5e-06
4,Inversely-sorted,Bubble,6,1.5e-06
4,Inversely-sorted,Selection,6,1.4e-06
4,Inversely-sorted,Insertion,6,1.6e-06
5,Random,Heap,4,1.7e-06
5,Random,Bubble,9,1.5e-06
5,Random,Selection,10,1.5e-06
5,Random,Insertion,7,1.5e-06
5,Sorted,Heap,4,1.9e-06
5,Sorted,Bubble,4,1.1e-06
5,Sorted,Selection,10,1.6e-06
5,Sorted,Insertion,4,1.2e-06
5,Inversely-sorted,Heap,6,1.7e-06
5,Inversely-sorted,Bubble,10,1.8e-06
5,Inversely-sorted,Selection,10,1.4e-06
5,Inversely-sorted,Insertion,10,1.6e-06
6,Random,Heap,6,1.9e-06
6,Random,Bubble,14,1.6e-06
6,Random,Selection,15,1.9e-06
6,Random,Insertion,11,1.6e-06
6,Sorted,Heap,4,1.6e-06
6,Sorted,Bubble,5,1.1e-06
6,Sorted,Selection,15,2.2e-06
6,Sorted,Insertion,5,1.5e-06
6,Inversely-sorted,Heap,9,1.9e-06
6,Inversely-sorted,Bubble,15,1.7e-06
6,Inversely-sorted,Selection,15,1.4e-06
6,Inversely-sorted,Insertion,15,2.8e-06
7,Random,Heap,10,2.4e-06
7,Random,Bubble,21,1.8e-06
7,Random,Selection,21,1.5e-06
7,Random,Insertion,19,1.7e-06
7,Sorted,Heap,5,1.8e-06
7,Sorted,Bubble,6,1.2e-06
7,Sorted,Selection,21,2.2e-06
7,Sorted,Insertion,6,1.3e-06
7,Inversely-sorted,Heap,10,2e-06
7,Inversely-sorted,Bubble,21,2e-06
7,Inversely-sorted,Selection,21,1.6e-06
7,Inversely-sorted,Insertion,21,2.2e-06
8,Random,Heap,12,2.4e-06
8,Random,Bubble,28,1.9e-06
8,Random,Selection,28,2e-06
8,Random,Insertion,21,2e-06
8,Sorted,Heap,9,2.1e-06
8,Sorted,Bubble,7,1.3e-06
8,Sorted,Selection,28,1.9e-06
8,Sorted,Insertion,7,1.9e-06
8,Inversely-sorted,Heap,15,2.3e-06
8,Inversely-sorted,Bubble,28,2.3e-06
8,Inversely-sorted,Selection,28,1.6e-06
8,Inversely-sorted,Insertion,28,2.3e-06
9,Random,Heap,14,2.3e-06
9,Random,Bubble,36,2.1e-06
9,Random,Selection,36,1.8e-06
9,Random,Insertion,26,2.7e-06
9,Sorted,Heap,12,2.4e-06
9,Sorted,Bubble,8,1.2e-06
9,Sorted,Selection,36,1.7e-06
9,Sorted,Insertion,8,1.4e-06
9,Inversely-sorted,Heap,18,2.6e-06
9,Inversely-sorted,Bubble,36,2.7e-06
9,Inversely-sorted,Selection,36,1.9e-06
9,Inversely-sorted,Insertion,36,2.6e-06
10,Random,Heap,19,3.9e-06
10,Random,Bubble,44,2.6e-06
10,Random,Selection,45,1.8e-06
10,Random,Insertion,28,2.4e-06
10,Sorted,Heap,12,2.4e-06
10,Sorted,Bubble,9,1e-06
10,Sorted,Selection,45,1.6e-06
10,Sorted,Insertion,9,1.8e-06
10,Inversely-sorted,Heap,21,2.8e-06
10,Inversely-sorted,Bubble,45,2.8e-06
10,Inversely-sorted,Selection,45,1.7e-06
10,Inversely-sorted,Insertion,45,3.1e-06
11,Random,Heap,19,2.9e-06
11,Random,Bubble,52,2.6e-06
11,Random,Selection,55,2.5e-06
11,Random,Insertion,31,2.5e-06
11,Sorted,Heap,13,2.7e-06
11,Sorted,Bubble,10,1.2e-06
11,Sorted,Selection,55,1.8e-06
11,Sorted,Insertion,10,1.3e-06
11,Inversely-sorted,Heap,24,3.1e-06
11,Inversely-sorted,Bubble,55,3.5e-06
11,Inversely-sorted,Selection,55,1.7e-06
11,Inversely-sorted,Insertion,55,3.6e-06
12,Random,Heap,25,3.2e-06
12,Random,Bubble,56,2.5e-06
12,Random,Selection,66,1.9e-06
12,Random,Insertion,36,3.6e-06
12,Sorted,Heap,17,2.7e-06
12,Sorted,Bubble,11,1.1e-06
12,Sorted,Selection,66,1.8e-06
12,Sorted,Insertion,11,1.4e-06
12,Inversely-sorted,Heap,29,3.5e-06
12,Inversely-sorted,Bubble,66,3.7e-06
12,Inversely-sorted,Selection,66,1.7e-06
12,Inversely-sorted,Insertion,66,3.9e-06
13,Random,Heap,27,4.8e-06
13,Random,Bubble,77,3.1e-06
13,Random,Selection,78,1.9e-06
13,Random,Insertion,51,2.9e-06
13,Sorted,Heap,22,3.2e-06
13,Sorted,Bubble,12,1.1e-06
13,Sorted,Selection,78,1.8e-06
13,Sorted,Insertion,12,1.2e-06
13,Inversely-sorted,Heap,32,3.6e-06
13,Inversely-sorted,Bubble,78,4.2e-06
13,Inversely-sorted,Selection,78,1.9e-06
13,Inversely-sorted,Insertion,78,4.3e-06
14,Random,Heap,27,3.4e-06
14,Random,Bubble,88,3.4e-06
14,Random,Selection,91,2.2e-06
14,Random,Insertion,62,3.6e-06
14,Sorted,Heap,22,3.3e-06
14,Sorted,Bubble,13,1e-06
14,Sorted,Selection,91,1.8e-06
14,Sorted,Insertion,13,1.2e-06
14,Inversely-sorted,Heap,35,3.9e-06
14,Inversely-sorted,Bubble,91,4.7e-06
14,Inversely-sorted,Selection,91,2.1e-06
14,Inversely-sorted,Insertion,91,4.9e-06
15,Random,Heap,34,4.9e-06
15,Random,Bubble,102,4e-06
15,Random,Selection,105,2.3e-06
15,Random,Insertion,74,4.3e-06
15,Sorted,Heap,25,3.6e-06
15,Sorted,Bubble,14,1.3e-06
15,Sorted,Selection,105,2e-06
15,Sorted,Insertion,14,1.2e-06
15,Inversely-sorted,Heap,38,4.2e-06
15,Inversely-sorted,Bubble,105,5.4e-06
15,Inversely-sorted,Selection,105,2e-06
15,Inversely-sorted,Insertion,105,5.3e-06
16,Random,Heap,39,4.8e-06
16,Random,Bubble,110,3.6e-06
16,Random,Selection,120,2.2e-06
16,Random,Insertion,67,3.4e-06
16,Sorted,Heap,27,3.7e-06
16,Sorted,Bubble,15,1.1e-06
16,Sorted,Selection,120,1.9e-06
16,Sorted,Insertion,15,1.6e-06
16,Inversely-sorted,Heap,43,4.5e-06
16,Inversely-sorted,Bubble,120,5.8e-06
16,Inversely-sorted,Selection,120,2.2e-06
16,Inversely-sorted,Insertion,120,6e-06
17,Random,Heap,39,4.5e-06
17,Random,Bubble,130,3.7e-06
17,Random,Selection,136,2.2e-06
17,Random,Insertion,67,3.7e-06
17,Sorted,Heap,30,3.9e-06
17,Sorted,Bubble,16,1e-06
17,Sorted,Selection,136,2.2e-06
17,Sorted,Insertion,16,1.5e-06
17,Inversely-sorted,Heap,48,4.9e-06
17,Inversely-sorted,Bubble,136,6.3e-06
17,Inversely-sorted,Selection,136,2e-06
17,Inversely-sorted,Insertion,136,6.6e-06
18,Random,Heap,47,4.9e-06
18,Random,Bubble,153,4.9e-06
18,Random,Selection,153,2.4e-06
18,Random,Insertion,104,5e-06
18,Sorted,Heap,34,4.4e-06
18,Sorted,Bubble,17,1e-06
18,Sorted,Selection,153,2.1e-06
18,Sorted,Insertion,17,1.8e-06
18,Inversely-sorted,Heap,53,5.3e-06
18,Inversely-sorted,Bubble,153,7e-06
18,Inversely-sorted,Selection,153,2.3e-06
18,Inversely-sorted,Insertion,153,7.2e-06
19,Random,Heap,50,5.2e-06
19,Random,Bubble,161,7.3e-06
19,Random,Selection,171,2.6e-06
19,Random,Insertion,107,5e-06
19,Sorted,Heap,39,4.5e-06
19,Sorted,Bubble,18,1.1e-06
19,Sorted,Selection,171,3.3e-06
19,Sorted,Insertion,18,2.1e-06
19,Inversely-sorted,Heap,56,6.4e-06
19,Inversely-sorted,Bubble,171,7.7e-06
19,Inversely-sorted,Selection,171,2.3e-06
19,Inversely-sorted,Insertion,171,7.8e-06
20,Random,Heap,51,5.4e-06
20,Random,Bubble,180,4.9e-06
20,Random,Selection,190,2.4e-06
20,Random,Insertion,100,4.7e-06
20,Sorted,Heap,43,7e-06
20,Sorted,Bubble,19,1.1e-06
20,Sorted,Selection,190,2.4e-06
20,Sorted,Insertion,19,1.2e-06
20,Inversely-sorted,Heap,61,5.8e-06
20,Inversely-sorted,Bubble,190,8.6e-06
20,Inversely-sorted,Selection,190,2.4e-06
20,Inversely-sorted,Insertion,190,8.8e-06
21,Random,Heap,58,5.9e-06
21,Random,Bubble,200,6.3e-06
21,Random,Selection,210,2.9e-06
21,Random,Insertion,130,5.8e-06
21,Sorted,Heap,44,5e-06
21,Sorted,Bubble,20,1.2e-06
21,Sorted,Selection,210,2.3e-06
21,Sorted,Insertion,20,1.2e-06
21,Inversely-sorted,Heap,64,6e-06
21,Inversely-sorted,Bubble,210,9.1e-06
21,Inversely-sorted,Selection,210,2.6e-06
21,Inversely-sorted,Insertion,210,9.7e-06
22,Random,Heap,59,6.1e-06
22,Random,Bubble,225,6.4e-06
22,Random,Selection,231,3e-06
22,Random,Insertion,135,5.8e-06
22,Sorted,Heap,48,5.2e-06
22,Sorted,Bubble,21,1.1e-06
22,Sorted,Selection,231,2.3e-06
22,Sorted,Insertion,21,1.2e-06
22,Inversely-sorted,Heap,71,6.5e-06
22,Inversely-sorted,Bubble,231,9.9e-06
22,Inversely-sorted,Selection,231,2.6e-06
22,Inversely-sorted,Insertion,231,1e-05
23,Random,Heap,64,6.4e-06
23,Random,Bubble,225,7.4e-06
23,Random,Selection,253,3.1e-06
23,Random,Insertion,155,6.8e-06
23,Sorted,Heap,51,5.5e-06
23,Sorted,Bubble,22,1.1e-06
23,Sorted,Selection,253,2.5e-06
23,Sorted,Insertion,22,1.2e-06
23,Inversely-sorted,Heap,74,1.21e-05
23,Inversely-sorted,Bubble,253,1.38e-05
23,Inversely-sorted,Selection,253,3e-06
23,Inversely-sorted,Insertion,253,1.13e-05
24,Random,Heap,70,6.9e-06
24,Random,Bubble,275,8.9e-06
24,Random,Selection,276,3.2e-06
24,Random,Insertion,206,8.6e-06
24,Sorted,Heap,57,6e-06
24,Sorted,Bubble,23,1e-06
24,Sorted,Selection,276,3.8e-06
24,Sorted,Insertion,23,1.4e-06
24,Inversely-sorted,Heap,79,7.1e-06
24,Inversely-sorted,Bubble,276,1.17e-05
24,Inversely-sorted,Selection,276,2.7e-06
24,Inversely-sorted,Insertion,276,1.18e-05
25,Random,Heap,72,7e-06
25,Random,Bubble,285,1.16e-05
25,Random,Selection,300,3.3e-06
25,Random,Insertion,171,7.5e-06
25,Sorted,Heap,56,6.1e-06
25,Sorted,Bubble,24,1.4e-06
25,Sorted,Selection,300,4e-06
25,Sorted,Insertion,24,1.2e-06
25,Inversely-sorted,Heap,84,7.4e-06
25,Inversely-sorted,Bubble,300,1.26e-05
25,Inversely-sorted,Selection,300,2.8e-06
25,Inversely-sorted,Insertion,300,1.82e-05
26,Random,Heap,72,6.9e-06
26,Random,Bubble,280,7e-06
26,Random,Selection,325,3.3e-06
26,Random,Insertion,154,6.8e-06
26,Sorted,Heap,62,6.4e-06
26,Sorted,Bubble,25,1.2e-06
26,Sorted,Selection,325,3e-06
26,Sorted,Insertion,25,1.2e-06
26,Inversely-sorted,Heap,88,7.7e-06
26,Inversely-sorted,Bubble,325,2.06e-05
26,Inversely-sorted,Selection,325,3e-06
26,Inversely-sorted,Insertion,325,1.36e-05
27,Random,Heap,80,7.5e-06
27,Random,Bubble,345,1.06e-05
27,Random,Selection,351,3.4e-06
27,Random,Insertion,241,1.02e-05
27,Sorted,Heap,67,7.1e-06
27,Sorted,Bubble,26,1.3e-06
27,Sorted,Selection,351,3.2e-06
27,Sorted,Insertion,26,1.3e-06
27,Inversely-sorted,Heap,92,8.1e-06
27,Inversely-sorted,Bubble,351,1.49e-05
27,Inversely-sorted,Selection,351,3.1e-06
27,Inversely-sorted,Insertion,351,1.8e-05
28,Random,Heap,85,1.07e-05
28,Random,Bubble,323,8.3e-06
28,Random,Selection,378,3.5e-06
28,Random,Insertion,184,7.7e-06
28,Sorted,Heap,69,7.1e-06
28,Sorted,Bubble,27,1.2e-06
28,Sorted,Selection,378,3.4e-06
28,Sorted,Insertion,27,1.3e-06
28,Inversely-sorted,Heap,97,8.5e-06
28,Inversely-sorted,Bubble,378,1.57e-05
28,Inversely-sorted,Selection,378,3e-06
28,Inversely-sorted,Insertion,378,1.58e-05
29,Random,Heap,90,8.5e-06
29,Random,Bubble,405,1.5e-05
29,Random,Selection,406,3.6e-06
29,Random,Insertion,232,9.5e-06
29,Sorted,Heap,72,1.07e-05
29,Sorted,Bubble,28,1.2e-06
29,Sorted,Selection,406,3.1e-06
29,Sorted,Insertion,28,1.5e-06
29,Inversely-sorted,Heap,100,9e-06
29,Inversely-sorted,Bubble,406,1.7e-05
29,Inversely-sorted,Selection,406,3.9e-06
29,Inversely-sorted,Insertion,406,1.71e-05
30,Random,Heap,88,8.4e-06
30,Random,Bubble,407,1.03e-05
30,Random,Selection,435,3.8e-06
30,Random,Insertion,232,9.5e-06
30,Sorted,Heap,78,7.7e-06
30,Sorted,Bubble,29,1.2e-06
30,Sorted,Selection,435,3.1e-06
30,Sorted,Insertion,29,1.3e-06
30,Inversely-sorted,Heap,107,9.2e-06
30,Inversely-sorted,Bubble,435,1.82e-05
30,Inversely-sorted,Selection,435,3.3e-06
30,Inversely-sorted,Insertion,435,1.8e-05
